"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "comment", "blank", "total"
"c:\projects\card-game\src\game\cards\CardTranslator.ts", "TypeScript", 40, 0, 0, 0, 0, 16, 56
"c:\projects\card-game\src\game\cards\CardType.ts", "TypeScript", 18, 0, 0, 0, 3, 4, 25
"c:\projects\card-game\src\game\cards\CardValue.ts", "TypeScript", 16, 0, 0, 0, 8, 5, 29
"c:\projects\card-game\src\game\cards\Color.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"c:\projects\card-game\src\game\cards\Effect.ts", "TypeScript", 5, 0, 0, 0, 2, 4, 11
"c:\projects\card-game\src\game\cards\ICard.ts", "TypeScript", 22, 0, 0, 0, 4, 15, 41
"c:\projects\card-game\src\game\cards\Library.ts", "TypeScript", 22, 0, 0, 0, 3, 7, 32
"c:\projects\card-game\src\game\cards\ManaCost.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\projects\card-game\src\game\cards\SubType.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\projects\card-game\src\game\cards\abilities\AbstractAbility.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\projects\card-game\src\game\cards\abilities\DrawCard.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"c:\projects\card-game\src\game\cards\abilities\ITriggeredAbility.ts", "TypeScript", 5, 0, 0, 0, 3, 2, 10
"c:\projects\card-game\src\game\cards\abilities\TriggeredAbility.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\projects\card-game\src\game\cards\abilities\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\projects\card-game\src\game\cards\abilities\triggered\TriggeredDrawCard.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 11
"c:\projects\card-game\src\game\cards\cardLibrary\Fireball.ts", "TypeScript", 18, 0, 0, 0, 0, 4, 22
"c:\projects\card-game\src\game\cards\cardLibrary\One.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\projects\card-game\src\game\cards\cardLibrary\Zero.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\projects\card-game\src\game\cards\cardLibrary\index.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\projects\card-game\src\game\cards\index.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\projects\card-game\src\game\phases\PhaseOrder.ts", "TypeScript", 41, 0, 0, 0, 0, 8, 49
"c:\projects\card-game\src\game\players\Player.ts", "TypeScript", 35, 0, 0, 0, 6, 12, 53
"c:\projects\card-game\src\game\players\decks\Deck.ts", "TypeScript", 36, 0, 0, 0, 7, 16, 59
"c:\projects\card-game\src\game\players\decks\Decks.ts", "TypeScript", 12, 0, 0, 0, 6, 4, 22
"c:\projects\card-game\src\game\players\decks\IDeck.ts", "TypeScript", 8, 0, 0, 0, 0, 5, 13
"c:\projects\card-game\src\game\players\hands\Hand.ts", "TypeScript", 15, 0, 0, 0, 0, 4, 19
"c:\projects\card-game\src\game\players\hands\Hands.ts", "TypeScript", 7, 0, 0, 0, 3, 3, 13
"c:\projects\card-game\src\game\players\hands\index.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\projects\card-game\src\game\players\index.ts", "TypeScript", 50, 0, 0, 0, 5, 18, 73
"c:\projects\card-game\src\index.ts", "TypeScript", 15, 0, 0, 0, 5, 5, 25
"c:\projects\card-game\src\state\GameState.ts", "TypeScript", 40, 0, 0, 0, 9, 13, 62
"c:\projects\card-game\src\state\IGameState.ts", "TypeScript", 39, 0, 0, 0, 26, 15, 80
"c:\projects\card-game\src\types\Listener.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\projects\card-game\src\types\turns\index.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\projects\card-game\src\types\zones\Area.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\projects\card-game\src\types\zones\Visibility.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\projects\card-game\test\events\EventTracker.spec.ts", "TypeScript", 45, 0, 0, 0, 0, 15, 60
"c:\projects\card-game\test\game\Game.spec.ts", "TypeScript", 26, 0, 0, 0, 0, 8, 34
"c:\projects\card-game\tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 82, 9, 107
"Total", "-", 1741, 16, 10, 8342, 461, 615, 11185
